# R_b, L_A, L_D, e
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,-37.7572
675.0946,50.0819,249.3099,0.0048
569.4852,50.0819,249.3099,0.0048
664.5369,50.0819,249.3099,0.0048
675.0946,147.9957,249.3099,0.0048
538.8095,50.0819,249.3099,0.0048
675.0946,131.8343,249.3099,0.0048
675.0946,50.0819,110.4051,0.0048
675.0946,137.4202,249.3099,0.0048
675.0946,50.0819,194.0087,0.0048
675.0946,89.5412,249.3099,0.0048
673.3327,50.0819,249.3099,0.0048
675.0946,62.4289,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,153.6739,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,206.3204,0.0048
675.0946,50.0819,189.9779,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,66.1069,249.3099,0.0048
675.0946,50.0819,249.3099,0.0048
675.0946,50.0819,249.3099,13.4327
